Num, Category, Name
221, Economy, Population below poverty line
222, Economy, Household income or consumption by percentage share
223, Economy, Gini Index coefficient - distribution of family income
224, Economy, Budget
225, Economy, Taxes and other revenues
226, Economy, Budget surplus (+) or deficit (-)
227, Economy, Public debt
228, Economy, Fiscal year
229, Economy, Inflation rate (consumer prices)
237, Economy, Credit ratings
238, Economy, Current account balance
239, Economy, Exports
240, Economy, Exports - commodities
241, Economy, Exports - partners
242, Economy, Imports
243, Economy, Imports - commodities
245, Economy, Reserves of foreign exchange and gold
246, Economy, Debt - external
249, Economy, Exchange rates
250, Economy, Economy of the area administered by Turkish Cypriots
403, Economy, Imports - partners
405, Economy, Ease of Doing Business Index scores
251, Energy, Electricity access
252, Energy, Electricity - production
253, Energy, Electricity - consumption
254, Energy, Electricity - exports
255, Energy, Electricity - imports
256, Energy, Electricity - installed generating capacity
257, Energy, Electricity - from fossil fuels
258, Energy, Electricity - from nuclear fuels
259, Energy, Electricity - from hydroelectric plants
260, Energy, Electricity - from other renewable sources
261, Energy, Crude oil - production
262, Energy, Crude oil - exports
263, Energy, Crude oil - imports
264, Energy, Crude oil - proved reserves
265, Energy, Refined petroleum products - production
266, Energy, Refined petroleum products - consumption
267, Energy, Refined petroleum products - exports
268, Energy, Refined petroleum products - imports
269, Energy, Natural gas - production
270, Energy, Natural gas - consumption
271, Energy, Natural gas - exports
272, Energy, Natural gas - imports
273, Energy, Natural gas - proved reserves
196, Communications, Telephones - fixed lines
197, Communications, Telephones - mobile cellular
198, Communications, Telecommunication systems
199, Communications, Broadcast media
202, Communications, Internet country code
204, Communications, Internet users
205, Communications, Communications - note
206, Communications, Broadband - fixed subscriptions
377, Transportation, National air transport system
378, Transportation, Civil aircraft registration country code prefix
379, Transportation, Airports
380, Transportation, Airports - with paved runways
381, Transportation, Airports - with unpaved runways
382, Transportation, Heliports
383, Transportation, Pipelines
384, Transportation, Railways
385, Transportation, Roadways
386, Transportation, Waterways
387, Transportation, Merchant marine
388, Transportation, Ports and terminals
389, Transportation, Transportation - note
330, Military and Security, Military expenditures
331, Military and Security, Military and security forces
332, Military and Security, Military - note
333, Military and Security, Military service age and obligation
334, Military and Security, Maritime threats
410, Military and Security, Military and security service personnel strengths
411, Military and Security, Military equipment inventories and acquisitions
412, Military and Security, Military deployments
413, Terrorism, Terrorist group(s)
326, Transnational Issues, Disputes - international
327, Transnational Issues, Refugees and internally displaced persons
328, Transnational Issues, Trafficking in persons
329, Transnational Issues, Illicit drugs
